Date,Close
1656929160.0,19081.75000000
1656929340.0,19087.93000000
1656929520.0,19107.62000000
1656929700.0,19103.88000000
1656929880.0,19103.90000000
1656930060.0,19088.72000000
1656930240.0,19107.85000000
1656930420.0,19108.38000000
1656930600.0,19095.36000000
1656930780.0,19096.91000000
1656930960.0,19106.75000000
1656931140.0,19124.05000000
1656931320.0,19120.51000000
1656931500.0,19123.40000000
1656931680.0,19124.34000000
1656931860.0,19120.15000000
1656932040.0,19120.15000000
1656932220.0,19124.18000000
1656932400.0,19122.73000000
1656932580.0,19116.04000000
1656932760.0,19090.97000000
1656932940.0,19088.64000000
1656933120.0,19090.58000000
1656933300.0,19108.22000000
1656933480.0,19139.14000000
1656933660.0,19124.31000000
1656933840.0,19122.17000000
1656934020.0,19105.75000000
1656934200.0,19120.00000000
1656934380.0,19118.46000000
1656934560.0,19125.04000000
1656934740.0,19127.15000000
1656934920.0,19131.16000000
1656935100.0,19132.40000000
1656935280.0,19131.78000000
1656935460.0,19120.18000000
1656935640.0,19131.61000000
1656935820.0,19129.96000000
1656936000.0,19115.77000000
1656936180.0,19140.43000000
1656936360.0,19137.13000000
1656936540.0,19137.93000000
1656936720.0,19138.34000000
1656936900.0,19126.62000000
1656937080.0,19139.93000000
1656937260.0,19138.48000000
1656937440.0,19132.17000000
1656937620.0,19117.68000000
1656937800.0,19133.84000000
1656937980.0,19123.82000000
1656938160.0,19129.95000000
1656938340.0,19128.88000000
1656938520.0,19131.38000000
1656938700.0,19144.47000000
1656938880.0,19135.09000000
1656939060.0,19145.74000000
1656939240.0,19142.05000000
1656939420.0,19145.14000000
1656939600.0,19128.29000000
1656939780.0,19143.41000000
1656939960.0,19139.84000000
1656940140.0,19143.71000000
1656940320.0,19162.41000000
1656940500.0,19170.83000000
1656940680.0,19159.96000000
1656940860.0,19160.80000000
1656941040.0,19162.51000000
1656941220.0,19166.96000000
1656941400.0,19185.96000000
1656941580.0,19180.44000000
1656941760.0,19189.84000000
1656941940.0,19178.08000000
1656942120.0,19178.84000000
1656942300.0,19170.70000000
1656942480.0,19167.86000000
1656942660.0,19169.69000000
1656942840.0,19092.11000000
1656943020.0,19103.66000000
1656943200.0,19110.53000000
1656943380.0,19081.87000000
1656943560.0,19100.12000000
1656943740.0,19110.48000000
1656943920.0,19104.18000000
1656944100.0,19112.29000000
1656944280.0,19110.96000000
1656944460.0,19109.47000000
1656944640.0,19117.10000000
1656944820.0,19117.73000000
1656945000.0,19114.47000000
1656945180.0,19120.69000000
1656945360.0,19103.14000000
1656945540.0,19120.33000000
1656945720.0,19130.77000000
1656945900.0,19121.21000000
1656946080.0,19118.40000000
1656946260.0,19113.92000000
1656946440.0,19111.01000000
1656946620.0,19122.84000000
1656946800.0,19126.38000000
1656946980.0,19115.01000000
1656947160.0,19128.45000000
1656947340.0,19128.92000000
1656947520.0,19132.30000000
1656947700.0,19139.62000000
1656947880.0,19131.94000000
1656948060.0,19143.11000000
1656948240.0,19146.74000000
1656948420.0,19151.74000000
1656948600.0,19153.62000000
1656948780.0,19151.77000000
1656948960.0,19164.47000000
1656949140.0,19159.14000000
1656949320.0,19168.19000000
1656949500.0,19171.88000000
1656949680.0,19161.06000000
1656949860.0,19158.45000000
1656950040.0,19149.03000000
1656950220.0,19150.18000000
1656950400.0,19141.47000000
1656950580.0,19157.70000000
1656950760.0,19150.82000000
1656950940.0,19153.58000000
1656951120.0,19154.58000000
1656951300.0,19178.53000000
1656951480.0,19170.45000000
1656951660.0,19193.16000000
1656951840.0,19227.80000000
1656952020.0,19234.57000000
1656952200.0,19256.19000000
1656952380.0,19266.50000000
1656952560.0,19250.41000000
1656952740.0,19253.84000000
1656952920.0,19257.97000000
1656953100.0,19367.42000000
1656953280.0,19398.41000000
1656953460.0,19408.57000000
1656953640.0,19404.98000000
1656953820.0,19368.88000000
1656954000.0,19422.93000000
1656954180.0,19428.30000000
1656954360.0,19423.33000000
1656954540.0,19452.18000000
1656954720.0,19433.86000000
1656954900.0,19451.76000000
1656955080.0,19459.50000000
1656955260.0,19473.19000000
1656955440.0,19476.47000000
1656955620.0,19477.49000000
1656955800.0,19463.25000000
1656955980.0,19448.26000000
1656956160.0,19483.72000000
1656956340.0,19501.96000000
1656956520.0,19495.31000000
1656956700.0,19487.68000000
1656956880.0,19472.17000000
1656957060.0,19508.12000000
1656957240.0,19465.75000000
1656957420.0,19471.72000000
1656957600.0,19501.96000000
1656957780.0,19496.99000000
1656957960.0,19504.12000000
1656958140.0,19488.04000000
1656958320.0,19520.10000000
1656958500.0,19528.92000000
1656958680.0,19488.55000000
1656958860.0,19469.24000000
1656959040.0,19484.99000000
1656959220.0,19532.91000000
1656959400.0,19559.60000000
1656959580.0,19598.30000000
1656959760.0,19605.03000000
1656959940.0,19626.74000000
1656960120.0,19640.43000000
1656960300.0,19611.40000000
1656960480.0,19607.87000000
1656960660.0,19630.49000000
1656960840.0,19785.67000000
1656961020.0,19808.15000000
1656961200.0,19845.06000000
1656961380.0,19801.35000000
1656961560.0,19793.23000000
1656961740.0,19747.62000000
1656961920.0,19716.40000000
1656962100.0,19744.79000000
1656962280.0,19759.20000000
1656962460.0,19770.00000000
1656962640.0,19737.27000000
1656962820.0,19718.30000000
1656963000.0,19706.28000000
1656963180.0,19734.16000000
1656963360.0,19711.12000000
1656963540.0,19716.15000000
1656963720.0,19683.78000000
1656963900.0,19691.15000000
1656964080.0,19695.48000000
1656964260.0,19703.05000000
1656964440.0,19727.34000000
1656964620.0,19708.01000000
1656964800.0,19704.30000000
1656964980.0,19730.46000000
1656965160.0,19743.91000000
1656965340.0,19750.22000000
1656965520.0,19738.78000000
1656965700.0,19731.56000000
1656965880.0,19725.14000000
1656966060.0,19719.55000000
1656966240.0,19691.32000000
1656966420.0,19704.13000000
1656966600.0,19671.32000000
1656966780.0,19568.28000000
1656966960.0,19625.14000000
1656967140.0,19596.55000000
1656967320.0,19542.70000000
1656967500.0,19577.11000000
1656967680.0,19572.79000000
1656967860.0,19563.80000000
1656968040.0,19559.73000000
1656968220.0,19533.23000000
1656968400.0,19537.81000000
1656968580.0,19535.87000000
1656968760.0,19503.35000000
1656968940.0,19567.87000000
1656969120.0,19552.74000000
1656969300.0,19526.76000000
1656969480.0,19552.47000000
1656969660.0,19591.97000000
1656969840.0,19579.69000000
1656970020.0,19587.69000000
1656970200.0,19579.31000000
1656970380.0,19579.48000000
1656970560.0,19588.92000000
1656970740.0,19538.91000000
1656970920.0,19556.49000000
1656971100.0,19560.57000000
1656971280.0,19540.81000000
1656971460.0,19580.07000000
1656971640.0,19597.63000000
1656971820.0,19613.57000000
1656972000.0,19632.64000000
1656972180.0,20001.61000000
1656972360.0,19908.71000000
1656972540.0,19855.90000000
1656972720.0,19880.41000000
1656972900.0,19889.59000000
1656973080.0,19919.91000000
1656973260.0,19857.94000000
1656973440.0,19804.44000000
1656973620.0,19783.69000000
1656973800.0,19757.77000000
1656973980.0,19748.38000000
1656974160.0,19743.39000000
1656974340.0,19795.21000000
1656974520.0,19791.12000000
1656974700.0,19838.27000000
1656974880.0,19816.08000000
1656975060.0,19823.71000000
1656975240.0,19823.42000000
1656975420.0,19799.11000000
1656975600.0,19779.18000000
1656975780.0,19748.46000000
1656975960.0,19808.57000000
1656976140.0,19804.54000000
1656976320.0,19815.11000000
1656976500.0,19781.93000000
1656976680.0,19746.84000000
1656976860.0,19697.44000000
1656977040.0,19712.72000000
1656977220.0,19729.61000000
1656977400.0,19709.06000000
1656977580.0,19713.21000000
1656977760.0,19708.28000000
1656977940.0,19711.31000000
1656978120.0,19699.15000000
1656978300.0,19720.81000000
1656978480.0,19729.65000000
1656978660.0,19746.50000000
1656978840.0,19740.61000000
1656979020.0,19741.99000000
1656979200.0,19729.38000000
1656979380.0,19755.37000000
1656979560.0,19786.39000000
1656979740.0,19789.42000000
1656979920.0,19790.61000000
1656980100.0,19812.88000000
1656980280.0,19822.22000000
1656980460.0,19877.38000000
1656980640.0,19892.66000000
1656980820.0,19970.51000000
1656981000.0,19950.72000000
1656981180.0,19931.53000000
1656981360.0,19926.40000000
1656981540.0,19975.00000000
1656981720.0,20015.49000000
1656981900.0,19954.35000000
1656982080.0,19941.63000000
1656982260.0,19939.53000000
1656982440.0,19934.10000000
1656982620.0,19896.73000000
1656982800.0,19884.59000000
1656982980.0,19898.02000000
1656983160.0,19890.62000000
1656983340.0,19915.33000000
1656983520.0,19892.80000000
1656983700.0,19895.69000000
1656983880.0,19909.77000000
1656984060.0,19918.75000000
1656984240.0,19851.40000000
1656984420.0,19869.72000000
1656984600.0,19882.93000000
1656984780.0,19863.70000000
1656984960.0,19863.10000000
1656985140.0,19864.31000000
1656985320.0,19847.24000000
1656985500.0,19885.26000000
1656985680.0,19873.99000000
1656985860.0,19932.39000000
1656986040.0,19920.62000000
1656986220.0,19931.40000000
1656986400.0,19925.00000000
1656986580.0,19941.62000000
1656986760.0,19902.40000000
1656986940.0,19868.62000000
1656987120.0,19839.21000000
1656987300.0,19843.14000000
1656987480.0,19795.90000000
1656987660.0,19805.29000000
1656987840.0,19791.46000000
1656988020.0,19779.52000000
1656988200.0,19778.68000000
1656988380.0,19774.33000000
1656988560.0,19788.03000000
1656988740.0,19794.17000000
1656988920.0,19777.08000000
1656989100.0,19811.72000000
1656989280.0,19818.67000000
1656989460.0,19834.96000000
1656989640.0,19821.33000000
1656989820.0,19830.26000000
1656990000.0,19852.21000000
1656990180.0,19793.15000000
1656990360.0,19808.05000000
1656990540.0,19830.55000000
1656990720.0,19854.89000000
1656990900.0,19832.75000000
1656991080.0,19821.19000000
1656991260.0,19791.13000000
1656991440.0,19779.82000000
1656991620.0,19783.70000000
1656991800.0,19778.59000000
1656991980.0,19763.85000000
1656992160.0,19756.07000000
1656992340.0,19763.93000000
1656992520.0,19763.01000000
1656992700.0,19774.76000000
1656992880.0,19799.71000000
1656993060.0,19800.96000000
1656993240.0,19781.62000000
1656993420.0,19783.88000000
1656993600.0,19753.94000000
1656993780.0,19772.59000000
1656993960.0,19787.59000000
1656994140.0,19787.02000000
1656994320.0,19801.42000000
1656994500.0,19811.46000000
1656994680.0,19818.51000000
1656994860.0,19811.97000000
1656995040.0,19812.61000000
1656995220.0,19789.33000000
1656995400.0,19794.11000000
1656995580.0,19873.53000000
1656995760.0,19897.41000000
1656995940.0,19882.17000000
1656996120.0,19888.66000000
1656996300.0,19933.52000000
1656996480.0,19944.66000000
1656996660.0,19950.00000000
1656996840.0,19932.71000000
1656997020.0,19959.61000000
1656997200.0,19912.31000000
1656997380.0,19916.18000000
1656997560.0,19897.00000000
1656997740.0,19888.67000000
1656997920.0,19884.21000000
1656998100.0,19887.41000000
1656998280.0,19934.22000000
1656998460.0,19933.28000000
1656998640.0,19966.55000000
1656998820.0,19955.96000000
1656999000.0,19981.02000000
1656999180.0,20027.14000000
1656999360.0,20037.86000000
1656999540.0,19969.69000000
1656999720.0,20026.62000000
1656999900.0,20031.95000000
1657000080.0,20066.57000000
1657000260.0,20146.76000000
1657000440.0,20206.85000000
1657000620.0,20169.51000000
1657000800.0,20118.82000000
1657000980.0,20167.50000000
1657001160.0,20180.29000000
1657001340.0,20157.28000000
1657001520.0,20136.92000000
1657001700.0,20198.75000000
1657001880.0,20285.05000000
1657002060.0,20247.39000000
1657002240.0,20274.05000000
1657002420.0,20284.29000000
1657002600.0,20225.54000000
1657002780.0,20247.50000000
1657002960.0,20268.19000000
1657003140.0,20283.82000000
1657003320.0,20265.29000000
1657003500.0,20254.61000000
1657003680.0,20279.79000000
1657003860.0,20252.73000000
1657004040.0,20248.99000000
1657004220.0,20238.10000000
1657004400.0,20212.61000000
1657004580.0,20207.59000000
1657004760.0,20204.71000000
1657004940.0,20263.39000000
1657005120.0,20354.50000000
1657005300.0,20281.85000000
1657005480.0,20272.88000000
1657005660.0,20350.51000000
1657005840.0,20328.11000000
1657006020.0,20324.30000000
1657006200.0,20357.82000000
1657006380.0,20383.06000000
1657006560.0,20402.53000000
1657006740.0,20388.06000000
1657006920.0,20364.45000000
1657007100.0,20399.76000000
1657007280.0,20386.02000000
1657007460.0,20448.59000000
1657007640.0,20414.88000000
1657007820.0,20393.93000000
1657008000.0,20407.84000000
1657008180.0,20390.94000000
1657008360.0,20368.38000000
1657008540.0,20367.34000000
1657008720.0,20337.65000000
1657008900.0,20318.40000000
1657009080.0,20336.72000000
1657009260.0,20306.63000000
1657009440.0,20267.61000000
1657009620.0,20281.80000000
1657009800.0,20275.41000000
1657009980.0,20280.74000000
1657010160.0,20265.50000000
1657010340.0,20275.50000000
1657010520.0,20266.87000000
1657010700.0,20284.66000000
1657010880.0,20305.62000000
1657011060.0,20298.74000000
1657011240.0,20290.24000000
1657011420.0,20299.05000000
1657011600.0,20290.22000000
1657011780.0,20282.58000000
1657011960.0,20242.14000000
1657012140.0,20252.26000000
1657012320.0,20266.30000000
1657012500.0,20235.78000000
1657012680.0,20235.54000000
1657012860.0,20193.28000000
1657013040.0,20210.90000000
1657013220.0,20223.65000000
1657013400.0,20194.16000000
1657013580.0,20197.88000000
1657013760.0,20198.78000000
1657013940.0,20175.58000000
1657014120.0,20194.97000000
1657014300.0,20208.18000000
1657014480.0,20187.01000000
1657014660.0,20188.91000000
1657014840.0,20161.12000000
1657015020.0,20177.95000000
1657015200.0,20194.19000000
1657015380.0,20189.99000000
1657015560.0,20231.31000000
1657015740.0,20246.25000000
1657015920.0,20228.06000000
1657016100.0,20226.03000000
1657016280.0,20213.41000000
1657016460.0,20224.28000000
1657016640.0,20209.96000000
1657016820.0,20213.63000000
1657017000.0,20247.53000000
1657017180.0,20257.48000000
1657017360.0,20277.77000000
1657017540.0,20275.55000000
1657017720.0,20271.04000000
1657017900.0,20265.02000000
1657018080.0,20298.82000000
1657018260.0,20303.20000000
1657018440.0,20312.41000000
1657018620.0,20315.74000000
1657018800.0,20307.12000000
1657018980.0,20313.37000000
1657019160.0,20282.04000000
